Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name
A2M_LRP1,A2M,alpha-2-macroglobulin,LRP1,low density lipoprotein receptor-related protein 1
AANAT_MTNR1A,AANAT,aralkylamine N-acetyltransferase,MTNR1A,melatonin receptor 1A
AANAT_MTNR1B,AANAT,aralkylamine N-acetyltransferase,MTNR1B,melatonin receptor 1B
ACE_AGTR2,ACE,angiotensin I converting enzyme,AGTR2,"angiotensin II receptor, type 2"
ACE_BDKRB2,ACE,angiotensin I converting enzyme,BDKRB2,bradykinin receptor B2
ADAM10_AXL,ADAM10,ADAM metallopeptidase domain 10,AXL,AXL receptor tyrosine kinase
ADAM10_EPHA3,ADAM10,ADAM metallopeptidase domain 10,EPHA3,EPH receptor A3
ADAM12_ITGA9,ADAM12,ADAM metallopeptidase domain 12,ITGA9,"integrin, alpha 9"
ADAM12_ITGB1,ADAM12,ADAM metallopeptidase domain 12,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ADAM12_SDC4,ADAM12,ADAM metallopeptidase domain 12,SDC4,syndecan 4
ADAM15_ITGA5,ADAM15,ADAM metallopeptidase domain 15,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ADAM15_ITGA9,ADAM15,ADAM metallopeptidase domain 15,ITGA9,"integrin, alpha 9"
ADAM15_ITGAV,ADAM15,ADAM metallopeptidase domain 15,ITGAV,"integrin, alpha V"
ADAM15_ITGB1,ADAM15,ADAM metallopeptidase domain 15,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ADAM15_ITGB3,ADAM15,ADAM metallopeptidase domain 15,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ADAM17_ERBB4,ADAM17,ADAM metallopeptidase domain 17,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
ADAM17_ITGA5,ADAM17,ADAM metallopeptidase domain 17,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ADAM17_ITGB1,ADAM17,ADAM metallopeptidase domain 17,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ADAM17_NOTCH1,ADAM17,ADAM metallopeptidase domain 17,NOTCH1,notch 1
ADAM23_ITGA5,ADAM23,ADAM metallopeptidase domain 23,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ADAM23_ITGB3,ADAM23,ADAM metallopeptidase domain 23,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ADAM28_ITGA4,ADAM28,ADAM metallopeptidase domain 28,ITGA4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
ADAM2_CD9,ADAM2,ADAM metallopeptidase domain 2,CD9,CD9 molecule
ADAM2_ITGA6,ADAM2,ADAM metallopeptidase domain 2,ITGA6,"integrin, alpha 6"
ADAM2_ITGA9,ADAM2,ADAM metallopeptidase domain 2,ITGA9,"integrin, alpha 9"
ADAM2_ITGB1,ADAM2,ADAM metallopeptidase domain 2,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ADAM2_ITGB7,ADAM2,ADAM metallopeptidase domain 2,ITGB7,"integrin, beta 7"
ADAM9_ITGA3,ADAM9,ADAM metallopeptidase domain 9,ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
ADAM9_ITGA6,ADAM9,ADAM metallopeptidase domain 9,ITGA6,"integrin, alpha 6"
ADAM9_ITGAV,ADAM9,ADAM metallopeptidase domain 9,ITGAV,"integrin, alpha V"
ADAM9_ITGB1,ADAM9,ADAM metallopeptidase domain 9,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ADAM9_ITGB5,ADAM9,ADAM metallopeptidase domain 9,ITGB5,"integrin, beta 5"
ADCYAP1_ADCYAP1R1,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADCYAP1_SCTR,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),SCTR,secretin receptor
ADCYAP1_VIPR1,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),VIPR1,vasoactive intestinal peptide receptor 1
ADCYAP1_VIPR2,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),VIPR2,vasoactive intestinal peptide receptor 2
ADIPOQ_ADIPOR1,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR1,adiponectin receptor 1
ADIPOQ_ADIPOR2,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOR2,adiponectin receptor 2
ADM2_CALCR,ADM2,adrenomedullin 2,CALCR,calcitonin receptor
ADM2_CALCRL,ADM2,adrenomedullin 2,CALCRL,calcitonin receptor-like
ADM2_RAMP1,ADM2,adrenomedullin 2,RAMP1,receptor (G protein-coupled) activity modifying protein 1
ADM_CALCR,ADM,adrenomedullin,CALCR,calcitonin receptor
ADM_CALCRL,ADM,adrenomedullin,CALCRL,calcitonin receptor-like
ADM_GPR182,ADM,adrenomedullin,GPR182,G protein-coupled receptor 182
ADM_MRGPRX2,ADM,adrenomedullin,MRGPRX2,"MAS-related GPR, member X2"
ADM_RAMP2,ADM,adrenomedullin,RAMP2,receptor (G protein-coupled) activity modifying protein 2
AGRN_ATP1A3,AGRN,agrin,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
AGRN_LRP4,AGRN,agrin,LRP4,low density lipoprotein receptor-related protein 4
AGRN_MUSK,AGRN,agrin,MUSK,"muscle, skeletal, receptor tyrosine kinase"
AGRP_MC3R,AGRP,agouti related protein homolog (mouse),MC3R,melanocortin 3 receptor
AGRP_MC4R,AGRP,agouti related protein homolog (mouse),MC4R,melanocortin 4 receptor
AGRP_MC5R,AGRP,agouti related protein homolog (mouse),MC5R,melanocortin 5 receptor
AGRP_SDC3,AGRP,agouti related protein homolog (mouse),SDC3,syndecan 3
AGT_AGTR1,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",AGTR1,"angiotensin II receptor, type 1"
AGT_AGTR2,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",AGTR2,"angiotensin II receptor, type 2"
AGT_LRP2,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",LRP2,low density lipoprotein receptor-related protein 2
AGT_MAS1,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",MAS1,MAS1 oncogene
AHSG_INSR,AHSG,alpha-2-HS-glycoprotein,INSR,insulin receptor
ALB_LRP2,ALB,albumin,LRP2,low density lipoprotein receptor-related protein 2
ALOX5AP_ALOX5,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,ALOX5,arachidonate 5-lipoxygenase
AMELX_LAMP1,AMELX,"amelogenin, X-linked",LAMP1,lysosomal-associated membrane protein 1
AMELY_LAMP1,AMELY,"amelogenin, Y-linked",LAMP1,lysosomal-associated membrane protein 1
AMH_ACVR1,AMH,anti-Mullerian hormone,ACVR1,"activin A receptor, type I"
AMH_AMHR2,AMH,anti-Mullerian hormone,AMHR2,"anti-Mullerian hormone receptor, type II"
AMH_EGFR,AMH,anti-Mullerian hormone,EGFR,epidermal growth factor receptor
ANGPT1_ITGA5,ANGPT1,angiopoietin 1,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
